Country,Region,Date,Age,Cases,Deaths
Germany,Germany,2020-01-07,0,0,NA
Germany,Germany,2020-01-08,0,0,NA
Germany,Germany,2020-01-09,0,0,NA
Germany,Germany,2020-01-10,0,0,NA
Germany,Germany,2020-01-11,0,0,NA
Germany,Germany,2020-01-12,0,0,NA
Germany,Germany,2020-01-13,0,0,NA
Germany,Germany,2020-01-14,0,0,NA
Germany,Germany,2020-01-15,0,0,NA
Germany,Germany,2020-01-16,0,0,NA
Germany,Germany,2020-01-17,0,0,NA
Germany,Germany,2020-01-18,0,0,NA
Germany,Germany,2020-01-19,0,0,NA
Germany,Germany,2020-01-20,0,0,NA
Germany,Germany,2020-01-21,0,0,NA
Germany,Germany,2020-01-22,0,0,NA
Germany,Germany,2020-01-23,0,0,NA
Germany,Germany,2020-01-24,0,0,NA
Germany,Germany,2020-01-25,0,0,NA
Germany,Germany,2020-01-26,0,0,NA
Germany,Germany,2020-01-27,0,0,NA
Germany,Germany,2020-01-28,0,0,NA
Germany,Germany,2020-01-29,0,0,NA
Germany,Germany,2020-01-30,0,0,NA
Germany,Germany,2020-01-31,0,1,NA
Germany,Germany,2020-02-01,0,1,NA
Germany,Germany,2020-02-02,0,1,NA
Germany,Germany,2020-02-03,0,1,NA
Germany,Germany,2020-02-04,0,2,NA
Germany,Germany,2020-02-05,0,2,NA
Germany,Germany,2020-02-06,0,2,NA
Germany,Germany,2020-02-07,0,2,NA
Germany,Germany,2020-02-08,0,2,NA
Germany,Germany,2020-02-09,0,2,NA
Germany,Germany,2020-02-10,0,2,NA
Germany,Germany,2020-02-11,0,3,NA
Germany,Germany,2020-02-12,0,3,NA
Germany,Germany,2020-02-13,0,3,NA
Germany,Germany,2020-02-14,0,3,NA
Germany,Germany,2020-02-15,0,3,NA
Germany,Germany,2020-02-16,0,3,NA
Germany,Germany,2020-02-17,0,3,NA
Germany,Germany,2020-02-18,0,3,NA
Germany,Germany,2020-02-19,0,3,NA
Germany,Germany,2020-02-20,0,3,0
Germany,Germany,2020-02-21,0,3,0
Germany,Germany,2020-02-22,0,3,0
Germany,Germany,2020-02-23,0,3,0
Germany,Germany,2020-02-24,0,3,0
Germany,Germany,2020-02-25,0,3,0
Germany,Germany,2020-02-26,0,3,0
Germany,Germany,2020-02-27,0,3,0
Germany,Germany,2020-02-28,0,6,0
Germany,Germany,2020-02-29,0,6,0
Germany,Germany,2020-03-01,0,6,0
Germany,Germany,2020-03-02,0,6,0
Germany,Germany,2020-03-03,0,6,0
Germany,Germany,2020-03-04,0,6,0
Germany,Germany,2020-03-05,0,11,0
Germany,Germany,2020-03-06,0,13,0
Germany,Germany,2020-03-07,0,13,0
Germany,Germany,2020-03-08,0,15,0
Germany,Germany,2020-03-09,0,18,0
Germany,Germany,2020-03-10,0,20,0
Germany,Germany,2020-03-11,0,26,0
Germany,Germany,2020-03-12,0,31,0
Germany,Germany,2020-03-13,0,33,0
Germany,Germany,2020-03-14,0,45,0
Germany,Germany,2020-03-15,0,51,0
Germany,Germany,2020-03-16,0,59,0
Germany,Germany,2020-03-17,0,75,0
Germany,Germany,2020-03-18,0,105,0
Germany,Germany,2020-03-19,0,131,0
Germany,Germany,2020-03-20,0,151,0
Germany,Germany,2020-03-21,0,178,0
Germany,Germany,2020-03-22,0,194,0
Germany,Germany,2020-03-23,0,225,0
Germany,Germany,2020-03-24,0,268,0
Germany,Germany,2020-03-25,0,296,0
Germany,Germany,2020-03-26,0,343,0
Germany,Germany,2020-03-27,0,387,0
Germany,Germany,2020-03-28,0,427,0
Germany,Germany,2020-03-29,0,448,0
Germany,Germany,2020-03-30,0,469,0
Germany,Germany,2020-03-31,0,512,0
Germany,Germany,2020-04-01,0,569,0
Germany,Germany,2020-04-02,0,616,0
Germany,Germany,2020-04-03,0,664,0
Germany,Germany,2020-04-04,0,694,0
Germany,Germany,2020-04-05,0,719,0
Germany,Germany,2020-04-06,0,747,0
Germany,Germany,2020-04-07,0,807,0
Germany,Germany,2020-04-08,0,850,1
Germany,Germany,2020-04-09,0,876,1
Germany,Germany,2020-04-10,0,909,1
Germany,Germany,2020-04-11,0,947,1
Germany,Germany,2020-04-12,0,956,1
Germany,Germany,2020-04-13,0,966,1
Germany,Germany,2020-04-14,0,992,1
